,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
39,kgri_kt,0.002989621159163691,3.344356794310213,-0.04881637462651348,0.060393595704486915,0.23861881967152065,0.2755927989466805,0.12553735907933827,0.12553735907933827
18,kmhk_kt,0.003030691909858463,2.593250366783377,-0.12466985503015238,0.09093775067204651,0.3710776185884747,0.39884573444844085,0.2015240592634484,0.17990808318655027
35,ktcc_kt,0.0030773077265131704,3.549152771322426,0.013692686103627536,-0.09487803541450589,0.2400478042407584,0.34664143675724424,0.12076993603386832,0.20960040835070526
25,k8d3_kt,0.0032216924763327874,2.9824346858813184,-0.127925320743718,0.2872792038629582,0.3228552106080209,0.41324522044593726,0.08440184126416206,0.08917824264549523
6,kfoe_kt,0.0032322613147763263,2.984439420586075,0.06725738620836304,-0.04656338680433713,0.318344945853187,0.3345719886714728,0.1441561587510809,0.15601288193459695
82,kmkc_kt,0.003236984205174482,2.311862906886846,-0.06840515131464496,0.07527163160170766,0.24432259755837296,0.2023893504244739,0.08597172614764759,0.056790137155211085
64,kbis_kt,0.003335488582405895,2.7014262500757638,-0.09182942973558846,0.0052838159728551895,0.27134093216825256,0.29033806224663866,0.06927763026995493,0.09978454520692814
88,kemp_kt,0.003373775738862533,3.1805711978731157,0.0267125376259214,-0.07185028968211671,0.38749312581449863,0.3772891212169934,0.20498602279901768,0.19526371913824114
16,kstc_kt,0.0034877329676647815,2.566941741133227,-0.14750662648053672,0.24955869299144554,0.25965471989008365,0.38334977794770847,0.05173293219982611,0.10651393829154898
99,kcdr_kt,0.003495358612426693,3.2002081575942425,0.0010943612927957014,0.0005306044731466721,0.1722337994594334,0.23024357842418286,0.06639249276347603,0.09205388192380348
17,khsi_kt,0.003507358779123813,3.555876257550432,0.22182245779785337,-0.24425169739562816,0.3460330524196972,0.41747254108023224,0.1977020842632875,0.26189265949282703
48,kp28_kt,0.00357552884572576,3.5156849238781396,0.011230511695234114,0.1641340144285522,0.31969923208863116,0.4902604579348392,0.17192665622614633,0.22021635513488036
29,kmls_kt,0.0036769789102255417,2.3504726800268214,-0.012285945568243424,0.009381741318642452,0.22123253491843173,0.25511152777407076,0.10542920679436829,0.12698938926664738
50,kaia_kt,0.0036958629205018005,3.6347182710269452,0.13667466923506236,-0.14690925576088376,0.3254532120779649,0.34747934202192243,0.19300639525836516,0.21562305340240728
10,kgld_kt,0.003696146554432367,4.08035878683899,0.21039567412321605,-0.11061936455386603,0.3552905276555724,0.29367364376200195,0.09068765462838257,0.07667267232517894
24,kaao_kt,0.0037668219389123607,3.327468156080147,0.05371559034415495,-0.016643552112603564,0.3093565713109275,0.32669644153824723,0.10590431584594384,0.1035804807665055
36,kapa_kt,0.003808004195697859,2.9657410673953315,-0.06125245860601061,-0.0190468140218991,0.36177260979885095,0.35060417518067694,0.17868153154958222,0.15616675399041924
72,kmci_kt,0.003969637999241517,2.4357498600760947,0.06891773561796335,-0.0530976129975827,0.2094285794663177,0.19399647769509779,0.0837910458028045,0.06580398373672836
87,katy_kt,0.004001150501150824,3.010386712823555,0.14085141474532648,0.05920095886978341,0.36192657751852525,0.2074739063941606,0.09696458574901712,0.06026351811991937
80,ktor_kt,0.004059098183770911,2.9422139330510886,-0.23139327512886712,0.11883249071905388,0.37305054005344407,0.2765639691616705,0.14162665755896953,0.10430738886260826
46,kbbw_kt,0.0040893030097783065,3.835352976836741,-0.004456744279868306,0.11479405388608489,0.3231116210630095,0.3429260653173275,0.16505415084185016,0.14960306028509507
